ICAOaddr,Lat,Lon,Heading,Alt,Speed,Squawk,Tailnr,Type,Reg,unk0,Src,Dest,Flightnr,unk1,unk2,Callsign,unk3,Airline
"49D0C2",49.95,12.23,99,30200,396,"1165","F-LKPM1","BE4W","OK-PFY",1618580036,"NCL","","",0,-1600,"TIE307F",0,"TIE"
"86E3EC",51.03,10.34,226,29350,457,"2276","F-EDVM1","B789","JA861J",1618580036,"NRT","FRA","JL407",0,-1088,"JAL407",0,"JAL"
"8964A3",49.32,9.84,113,29275,459,"7710","F-EDMO3","B77W","A6-EQK",1618580036,"FRA","DXB","EK46",0,1856,"UAE46",0,"UAE"
"76CDA8",51.78,2.01,261,29025,437,"3107","F-EGGW2","A359","9V-SMH",1618580028,"SIN","LHR","SQ308",0,-1920,"SIA308",0,"SIA"
"40756F",53.24,-3.13,129,29000,399,"1427","F-EGXU1","A320","G-EZGY",1618580031,"BFS","STN","U2264",0,-64,"EZY264",0,"EZY"
"4853F4",52.28,2.20,76,28625,386,"6251","F-EHAM3","E75L","PH-EXJ",1618580035,"ORK","AMS","KL1088",0,-2176,"KLM1088",0,"KLM"
"48548C",51.72,6.31,131,28300,436,"3144","F-EHTW2","E75L","PH-EXK",1618580035,"AMS","BLQ","KL1591",0,1152,"KLM73C",0,"KLM"
"401087",52.25,7.69,266,28100,303,"1105","F-EDVM1","BE20","G-MEGN",1618580036,"BER","","",0,0,"CBM88",0,"CBM"
"",52.45,9.78,131,28000,351,"1330","F-EDVM1","C510","",1618580036,"","","",0,0,"C510",0,""
"AE0598",52.72,8.16,25,28000,376,"0717","T-MLAT1","K35R","59-1521",1618580036,"AAH","","",0,0,"",0,"RCH"
"4BCCAF",52.00,11.15,121,27675,390,"1121","F-EDDV4","B738","TC-SEO",1618580036,"HAJ","ADB","XQ975",0,1920,"SXS7U",0,"SXS"
"3986EB",50.17,12.59,275,27375,397,"1000","F-LKKV1","E170","F-HBXL",1618580034,"PRG","CDG","AF1083",0,1664,"AFR59LD",0,"AFR"
"600B21",50.03,8.58,77,27200,453,"3507","F-EDRZ1","B744","4K-SW888",1618580027,"LUX","GYD","7L262",0,1024,"AZG262",0,"AZG"
"51007F",51.93,1.42,73,27175,417,"2020","F-EGHH2","E195","EW-399PO",1618580037,"LGW","MSQ","B2852",0,1344,"BRU852",0,"BRU"
"3D7F46",52.92,9.59,180,27000,262,"1134","F-EDDT1","PC12","D-FULI",1618580037,"HAM","","",0,0,"DFULI",0,""
"",51.90,-4.21,97,27000,436,"1415","F-EGNR5","GLF6","",1618580037,"","","",0,-64,"GLF6",0,""
"44CCC3",49.43,3.08,206,26625,482,"7141","F-LFPC1","A333","OO-SFC",1618580036,"BRU","DLA","SN369",0,1024,"BEL369",0,"BEL"
"3C5EFA",52.34,11.26,258,26025,381,"1137","F-EDCD2","A319","D-AGWZ",1618580037,"BER","DUS","EW8044",0,0,"GWI6AX",0,"EWG"
"4D2220",48.59,0.45,39,26000,314,"1153","F-LFRH1","B738","9H-QBM",1618580036,"LIS","BVA","FR1083",0,0,"RYR6NF",0,"RYR"
"44CCC5",49.80,3.30,205,25225,471,"7121","F-EBBR1","A333","OO-SFE",1618580037,"BRU","ABJ","SN319",0,832,"BEL319P",0,"BEL"
"3951C1",50.22,3.90,200,25125,429,"3510","F-EBOS1","B77L","F-GUOB",1618580029,"NRT","CDG","AF6725",0,-1216,"AFR6725",0,"AFR"
"4CA8E5",52.82,-2.89,177,25050,439,"2005","F-EGNR5","B738","EI-ENS",1618580031,"MAN","FAO","FR4088",0,896,"RYR8AP",0,"RYR"
"867F8A",49.97,3.86,205,24875,443,"3514","F-LFSR3","B77W","JA732J",1618580034,"HND","CDG","JL45",0,-1088,"JAL45",0,"JAL"
"4CAFD0",52.87,-6.37,212,24750,414,"3610","F-EICM2","B738","EI-GXK",1618580037,"DUB","LIS","FR7138",0,2368,"RYR188V",0,"RYR"
"4D00F6",49.38,7.88,278,24700,417,"3201","F-EDDL2","B738","LX-LGU",1618580036,"DXB","LUX","LG9002",0,-1024,"LGL9002",0,"LGL"
"406D8E",51.71,-0.36,332,24550,377,"1425","F-EHRD5","A320","G-EZOI",1618580037,"LGW","EDI","U2809",0,2048,"EZY635P",0,"EZY"
"4D00D6",50.43,5.30,314,24000,317,"3501","F-EHWO4","DH8D","LX-LQB",1618580035,"LUX","LCY","LG4595",0,64,"LGL4595",0,"LGL"
"44AAE2",49.44,6.30,345,24000,266,"5774","F-ETAD1","PC12","OO-JWB",1618580031,"SIR","","",0,0,"OOJWB",0,"JNL"
"",53.05,-5.94,170,23575,394,"5207","F-EINN3","C68A","",1618580032,"","","",0,1472,"C68A",0,""
"3D6FB7",50.49,7.98,148,23000,260,"3722","F-EDDF4","PC12","D-FOOD",1618580032,"CGN","","",0,0,"DFOOD",0,""
"",49.13,8.36,160,23000,412,"2516","F-LFSF1","C68A","",1618580035,"","","",0,192,"C68A",0,""
"3986E8",49.21,4.62,67,23000,386,"1000","F-LFLA3","E170","F-HBXI",1618580037,"CDG","DUS","AF1406",0,0,"AFR57TJ",0,"AFR"
"502C22",50.04,8.87,197,22999,265,"1000","T-MLAT1","SF34","YL-RAE",1618580036,"RIX","","",0,-256,"MTL828P",0,"MTL"
"8963DB",52.09,5.73,123,22925,432,"3153","F-EDLN2","B77W","A6-EPL",1618580035,"AMS","DXB","EK148",0,2496,"UAE148",0,"UAE"
"71C252",49.62,10.16,291,22875,415,"1000","F-EDDS4","B77L","HL8252",1618580035,"BUD","FRA","KE543",0,-1472,"KAL543",0,"KAL"
"406A9F",50.78,0.93,311,22500,381,"0513","F-EBKT2","B788","G-ZBJH",1618580037,"DXB","LHR","BA104",0,-1536,"BAW104",0,"BAW"
"40749A",51.67,-2.67,269,22450,460,"4220","F-EGLK3","B789","G-ZBKS",1618580029,"LHR","DFW","BA193",0,1088,"BAW31F",0,"BAW"
"89610E",51.35,0.73,101,22125,419,"2274","F-EGLL2","B77W","A6-ECG",1618580036,"LHR","DXB","EK2",0,2432,"UAE2",0,"UAE"
"3D68E2",50.08,11.47,191,21999,240,"6325","T-MLAT1","P46T","D-FLYW",1618580036,"LEJ","","",0,0,"DFLYW",0,""
"4CA8D9",53.09,-2.86,216,21225,398,"2251","F-EGNR5","B738","EI-ENN",1618580037,"MAN","AGP","FR3232",0,2304,"RYR2UM",0,"RYR"
"480C03",52.83,-0.45,256,21075,280,"3310","T-MLAT1","C130","G-273",1618580034,"CBG","","",0,0,"NAF21",0,"NAF"
"",51.40,-1.07,24,21000,247,"4224","F-EGLL2","E50P","",1618580033,"","","",0,0,"E50P",0,""
"3C670A",49.49,9.45,114,20700,373,"7655","F-EDDF4","A359","D-AIXJ",1618580035,"FRA","BKK","LH772",0,1472,"DLH772",0,"DLH"
"06A1E6",50.70,5.68,296,20375,371,"3204","F-EBBR3","B77L","A7-BFI",1618580034,"DOH","BRU","QR8245",0,-832,"QTR83UV",0,"QTR"
"43EDE1",50.05,-1.70,2,19242,314,"5522","T-MLAT1","","",1618580034,"IBZ","","",0,-1728,"2DEWS",0,""
"4CA61E",51.89,1.97,279,19050,398,"6620","F-EGXC1","B738","EI-DWR",1618580037,"PRG","STN","FR1014",0,-2624,"RYR9SC",0,"RYR"
"4075FF",52.35,-1.27,144,19000,362,"7651","F-EGNR5","A21N","G-NEOR",1618580021,"MAN","LHR","BA1391",0,0,"SHT3U",0,"BAW"
"4074B5",49.45,-2.03,2,18050,300,"1211","F-EGJJ1","A20N","G-UZHE",1618580037,"JER","LGW","U2894",0,3072,"EZY48AV",0,"EZY"
"451CC1",49.68,8.89,127,17800,328,"7665","F-EDFM2","E190","LZ-PLO",1618580036,"FRA","SOF","FB438",0,2880,"LZB438",0,"LZB"
"896118",51.06,7.46,138,17125,393,"6424","F-EDLN1","B77W","A6-ECQ",1618580037,"DUS","DXB","EK56",0,3072,"UAE56",0,"UAE"
"4D0140",50.19,5.78,312,17025,433,"3504","F-EBAW1","B744","LX-OCV",1618580035,"LUX","LAX","CV7745",0,1536,"CLX46V",0,"CLX"
"3CE25A",52.15,0.09,93,16950,272,"0520","T-MLAT1","SW4","D-CNAG",1618580036,"BHX","ESS","",0,0,"BID2A",0,""
"",50.54,0.37,275,16750,452,"5727","F-EGVN1","F2TH","",1618580037,"","","",0,-1216,"F2TH",0,""
"3D6275",49.37,8.45,157,16150,254,"1244","F-LFSN1","PC12","D-FJNP",1618580035,"ESS","","",0,-832,"DFJNP",0,""
"3D1A9A",51.68,7.01,235,15999,162,"1136","T-MLAT1","PA46","D-EIIC",1618580036,"SZW","","",0,0,"DEIIC",0,""
"AE0693",49.75,8.57,249,15974,346,"3105","T-MLAT1","K35R","63-8004",1618580034,"RMS","","",0,0,"NACHO71",0,"RCH"
"3C5EE3",51.64,7.20,230,15600,347,"3526","F-EDDG2","A319","D-AGWC",1618580037,"ARN","DUS","EW9213",0,-1344,"EWG9PM",0,"EWG"
"407512",50.77,0.68,303,15300,343,"6651","F-EGMD1","B789","G-TUIM",1618580037,"MUC","LGW","BY8868",0,-832,"TOM8868",0,"TUI"
"400A76",51.17,-3.36,2,15150,200,"0502","F-EGLK2","BE20","G-CIFE",1618580037,"EXT","BLK","",0,1344,"BRO39",0,"BRO"
"4078AD",49.72,-2.23,24,15000,307,"1247","F-EGDY3","C25A","G-ILBG",1618580036,"GCI","","",0,64,"VCG3BG",0,"VCG"
"3D5501",52.60,8.29,180,14925,274,"1120","F-EDWI3","TBM9","D-FELD",1618580037,"GWT","","",0,-2432,"DFELD",0,""
"44CCD8",50.66,4.12,239,14850,401,"7113","F-EBBR3","A333","OO-SFX",1618580034,"BRU","FNA","SN241",0,1728,"BEL241W",0,"BEL"
"A48B4B",52.08,-9.19,99,14850,172,"6317","F-EICD1","P46T","N392MA",1618580037,"KIR","","",0,1408,"N392MA",0,""
"3C658D",49.85,9.15,294,14575,376,"1000","F-ETID1","A319","D-AILM",1618580033,"BEG","FRA","LH1407",0,-1472,"DLH3ME",0,"DLH"
"486257",52.60,4.45,354,13650,319,"3176","F-LFQT1","E295","PH-NXA",1618580035,"AMS","BGO","KL1189",0,3456,"KLM33Y",0,"KLM"
"3C65C3",50.16,8.64,249,13050,353,"1171","F-EDDF6","A20N","D-AINC",1618580036,"KBP","FRA","LH1491",0,-960,"DLH1491",0,"DLH"
"3D8FDF",49.20,12.28,137,13025,138,"6361","T-MLAT1","PA30","D-GAST",1618580034,"NUE","","",0,0,"DGAST",0,""
"",48.82,11.21,158,13025,346,"6336","F-EDDM2","","",1618580037,"","","",0,-2048,"BLOCKED",0,""
"A37A89",49.55,12.61,6,13000,183,"3610","F-EDDM2","PA46","N323MA",1618580037,"RBM","","",0,-64,"N323MA",0,""
"44C06A",48.79,4.08,153,13000,251,"1000","F-LFSR2","PC12","OO-PCJ",1618580035,"CRL","","",0,0,"OOPCJ",0,""
"448466",50.74,6.27,55,12850,388,"7161","F-EDDF4","B744","OO-ACF",1618580035,"LGG","WUH","X7281",0,1984,"CHG281",0,"FRH"
